"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","data_processing.1","data_processing.2","platform_id","contact_name","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","disease state:ch1"
"GSM616583","Normal oral tissue_052CN","GSM616583","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616583/suppl/GSM616583.CEL.gz","17881","normal"
"GSM616584","Normal oral tissue_47N","GSM616584","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616584/suppl/GSM616584.CEL.gz","17881","normal"
"GSM616585","Normal oral tissue_50N","GSM616585","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616585/suppl/GSM616585.CEL.gz","17881","normal"
"GSM616586","Normal oral tissue_56N","GSM616586","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616586/suppl/GSM616586.CEL.gz","17881","normal"
"GSM616587","Normal oral tissue_57N","GSM616587","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616587/suppl/GSM616587.CEL.gz","17881","normal"
"GSM616588","Normal oral tissue_58N","GSM616588","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616588/suppl/GSM616588.CEL.gz","17881","normal"
"GSM616589","Normal oral tissue_63N","GSM616589","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616589/suppl/GSM616589.CEL.gz","17881","normal"
"GSM616590","Normal oral tissue_65N","GSM616590","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616590/suppl/GSM616590.CEL.gz","17881","normal"
"GSM616591","Normal oral tissue_66N","GSM616591","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616591/suppl/GSM616591.CEL.gz","17881","normal"
"GSM616592","Normal oral tissue_68N","GSM616592","Public on Sep 01 2011","Nov 03 2010","Sep 01 2011","RNA","1","Normal oral tissue","Homo sapiens","disease state: normal","OSCC tissues were surgical dissected and immediately froze in liquid nitrogen until use","None","total RNA","Total RNA was isolated from tissue using the Qiagen RNeasy Mini Kit (Qiagen, Germantown, MD, USA) according to the manufacturer’s protocol.","biotin","As per manufacturer (Affymetrix)","9606","As per manufacturer (Affymetrix)","Affymetrix Gene ChIP Scanner 3000","normal person","Data were processed using Partek software. Gene level expression were summarized from the corrected intensities and then quantile normalized.","probe group file: HuEx-1_0-st-v2.r2.pgf","meta-probeset file: HuEx-1_0-st-v2.r2.dt1.hg18.core.mps","GPL5175","Chien-Hua,,Peng","Chang Gung Memorial Hospital ","No. 5, Fu-Hsing ST.","Taoyuan","33305","Taiwan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM616nnn/GSM616592/suppl/GSM616592.CEL.gz","17881","normal"
