"Sample","Variance"
"GSM616583",3.83533854698933
"GSM616584",3.40404655722781
"GSM616585",3.05268154755495
"GSM616586",3.00689543171153
"GSM616587",3.90119267382026
"GSM616588",3.01353236782251
"GSM616589",3.07212465768697
"GSM616590",3.25072994641687
"GSM616591",4.21454996498976
"GSM616592",4.29996433962966
"GSM616593",3.35841042329012
"GSM616594",3.67943158286236
"GSM616595",3.09361817218248
"GSM616596",3.83551017088046
"GSM616597",3.79712430463336
"GSM616598",3.77706315885455
"GSM616599",3.91415650289813
"GSM616600",2.97378567982405
"GSM616601",3.17192639470759
"GSM616602",3.17716724094979
"GSM616603",2.87218141479737
"GSM616604",3.50921033188319
"GSM616605",4.07135924344346
"GSM616606",4.13479501253129
"GSM616607",3.85221115254422
"GSM616608",3.78073308241146
"GSM616609",3.5611520522734
"GSM616610",4.0489876074636
"GSM616611",3.54789121682627
"GSM616612",3.50986646664961
"GSM616613",3.74836034242451
"GSM616614",3.514587870805
"GSM616615",4.12672474227675
"GSM616616",2.87869896704056
"GSM616617",3.74058792888955
"GSM616618",4.17923476479647
"GSM616619",4.1921271536908
"GSM616620",3.33014057951433
"GSM616621",3.95448030479186
"GSM616622",3.80936734961241
"GSM616623",3.47731679832991
"GSM616624",3.60385613539715
"GSM616625",3.95346718881577
"GSM616626",3.21836086635547
"GSM616627",3.48450214418489
"GSM616628",3.41654457348599
"GSM616629",3.31802572997672
"GSM616630",3.4910292735076
"GSM616631",4.04796016770597
"GSM616632",3.31828779540094
"GSM616633",3.6503432559445
"GSM616634",3.39484360875587
"GSM616635",3.22241119872483
"GSM616636",3.34573095004445
"GSM616637",3.40830273962597
"GSM616638",3.23578423149918
"GSM616639",3.59372969330952
"GSM616640",2.88072845680097
"GSM616641",3.57796240986225
"GSM616642",4.05886851024321
"GSM616643",3.30779006633984
"GSM616644",3.82385704267408
"GSM616645",3.43413815861867
"GSM616646",3.95149074810415
"GSM616647",3.34675757909372
"GSM616648",3.79421310374969
"GSM616649",3.29847704949338
"GSM616650",3.71570169146056
"GSM616651",3.52905282108778
"GSM616652",3.32262519274364
"GSM616653",4.0733841236327
"GSM616654",4.20437175194806
"GSM616655",3.8932986113151
"GSM616656",3.5069662837517
"GSM616657",3.93227983956404
"GSM616658",3.8454331945486
"GSM616659",3.81027731175774
"GSM616660",3.69359932842521
"GSM616661",4.00236075439433
